18:24:53.765 [http-nio-8080-exec-6] DEBUG com.shopme.ShopmeUserDetailsService                                                                  - Authentication user email: namhm@codejava.net
18:24:53.791 [http-nio-8080-exec-6] INFO  com.shopme.ShopmeUserDetailsService                                                                  - User authenticated successfully. Well done@
18:24:54.036 [http-nio-8080-exec-8] INFO  com.shopme.ShopmeErrorController                                                                     - Handling error...
18:24:54.037 [http-nio-8080-exec-8] ERROR com.shopme.ShopmeErrorController                                                                     - Error 404
18:25:02.674 [http-nio-8080-exec-8] INFO  com.shopme.ShopmeErrorController                                                                     - Handling error...
18:25:02.674 [http-nio-8080-exec-8] ERROR com.shopme.ShopmeErrorController                                                                     - Error 404
18:31:00.267 [RMI TCP Connection(63)-127.0.0.1] INFO  org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin          - Application shutdown requested.
18:31:00.269 [RMI TCP Connection(63)-127.0.0.1] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor                                     - Shutting down ExecutorService 'applicationTaskExecutor'
18:31:00.270 [RMI TCP Connection(63)-127.0.0.1] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean                                   - Closing JPA EntityManagerFactory for persistence unit 'default'
18:31:00.272 [RMI TCP Connection(63)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource                                                                   - HikariPool-5 - Shutdown initiated...
18:31:00.285 [RMI TCP Connection(63)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource                                                                   - HikariPool-5 - Shutdown completed.
20:38:56.762 [restartedMain] INFO  com.shopme.ShopmeAdminApplication                                                                    - Starting ShopmeAdminApplication on sqlsrv with PID 3088 (I:\Spring E-Commerce Course\ProjectCode\ShopmeBackend\target\classes started by Nam Millionaire in I:\Spring E-Commerce Course\ProjectCode\ShopmeBackend)
20:38:56.767 [restartedMain] DEBUG com.shopme.ShopmeAdminApplication                                                                    - Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
20:38:56.768 [restartedMain] INFO  com.shopme.ShopmeAdminApplication                                                                    - No active profile set, falling back to default profiles: default
